date,series_id,tree_id,tree_name,site,tree_genus_species_original,tree_genus_species,TWD_mean,TWD_median,TWD_min,TWD_max,n_obs,n_excluded,qc_flag
2025-04-01,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,23.339084541666665,23.762988,15.391379,26.741164,144,0,Valid
2025-04-01,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,33.740160958333334,33.489594,28.194932,38.725759,144,0,Valid
2025-04-01,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,38.95547002777778,39.590051,30.021206,44.374898,144,0,Valid
2025-04-01,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,145.2444573472222,150.4459705,102.001138,185.774206,144,0,Valid
2025-04-01,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,121.06712778472222,118.4513375,65.386829,191.27095,144,0,Valid
2025-04-01,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,93.65781809027777,100.04406900000001,56.942339,125.984782,144,0,Valid
2025-04-01,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,92.26157706944444,88.0568505,56.790369,133.139979,144,0,Valid
2025-04-01,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,167.67762883333333,170.0453345,120.259837,212.044692,144,0,Valid
2025-04-01,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,22.00771211111111,22.1485425,15.883594,27.221267,144,0,Valid
2025-04-01,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,51.008472097222224,52.1658535,37.422972,56.348816,144,0,Valid
2025-04-01,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,36.75239363888889,38.527156000000005,28.068089,40.622972,144,0,Valid
2025-04-01,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,37.65116573611111,38.068822,29.618775,43.688916999999996,144,0,Valid
2025-04-01,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,36.87333489583333,35.677437499999996,21.962108,53.503909,144,0,Valid
2025-04-01,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,41.43849988888889,42.814424,26.984789,51.047307000000004,144,0,Valid
2025-04-01,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,90.24491376388889,89.431118,74.724579,107.673029,144,0,Valid
2025-04-01,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,29.712767083333333,31.5305695,22.674477,32.990779,144,0,Valid
2025-04-01,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,71.39364372222222,72.995743,59.332579,78.549541,144,0,Valid
2025-04-01,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,44.4131163125,44.690349499999996,38.98793,47.944849,144,0,Valid
2025-04-01,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,45.60368802083333,46.185591,39.546172,49.429268,144,0,Valid
2025-04-01,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,16.363732041666665,16.987153,12.532049,17.99045,144,0,Valid
2025-04-01,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,37.236852291666665,37.436841,29.813311,44.592253,144,0,Valid
2025-04-01,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,44.90695578472222,44.584997,34.47669,53.718094,144,0,Valid
2025-04-01,1900,930,Fichte2_P3,P3,Fagus sylvatica,Abies alba,68.98329357638889,68.443802,55.822073,83.558009,144,0,Valid
2025-04-01,1901,931,Fichte3_P3,P3,Fagus sylvatica,Abies alba,21.71943523611111,21.6936825,13.269889,29.18948,144,0,Valid
2025-04-02,1878,908,Buche1_P1,P1,Fagus sylvatica,Fagus sylvatica,22.419728652777778,24.168295,10.913836,27.965121,144,0,Valid
2025-04-02,1879,909,Buche2_P1,P1,Fagus sylvatica,Fagus sylvatica,31.38331567361111,31.9385245,23.857978,35.49282,144,0,Valid
2025-04-02,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,38.601060375,41.363057999999995,23.635642,45.123053,144,0,Valid
2025-04-02,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,136.14886197916667,125.820714,72.490554,210.7996,144,0,Valid
