"x","y","vhi","date"
2597995,1204765,65,"2026-07-08 (latest valid available)"
2600855,1204765,55,"2026-07-08 (latest valid available)"
2600865,1204765,52,"2026-07-08 (latest valid available)"
2600875,1204765,46,"2026-07-08 (latest valid available)"
2600885,1204765,59,"2026-07-08 (latest valid available)"
2600895,1204765,60,"2026-07-08 (latest valid available)"
2600905,1204765,56,"2026-07-08 (latest valid available)"
2600915,1204765,66,"2026-07-08 (latest valid available)"
2602325,1204765,47,"2026-07-08 (latest valid available)"
2602335,1204765,45,"2026-07-08 (latest valid available)"
2602345,1204765,42,"2026-07-08 (latest valid available)"
2602355,1204765,47,"2026-07-08 (latest valid available)"
2602365,1204765,51,"2026-07-08 (latest valid available)"
2602375,1204765,48,"2026-07-08 (latest valid available)"
2602405,1204765,53,"2026-07-08 (latest valid available)"
2602415,1204765,47,"2026-07-08 (latest valid available)"
2602425,1204765,49,"2026-07-08 (latest valid available)"
2602435,1204765,48,"2026-07-08 (latest valid available)"
2602445,1204765,49,"2026-07-08 (latest valid available)"
2602455,1204765,51,"2026-07-08 (latest valid available)"
2602465,1204765,52,"2026-07-08 (latest valid available)"
2602475,1204765,53,"2026-07-08 (latest valid available)"
2602495,1204765,45,"2026-07-08 (latest valid available)"
2602505,1204765,51,"2026-07-08 (latest valid available)"
2602515,1204765,46,"2026-07-08 (latest valid available)"
2602525,1204765,50,"2026-07-08 (latest valid available)"
2602535,1204765,54,"2026-07-08 (latest valid available)"
2602545,1204765,61,"2026-07-08 (latest valid available)"
2602555,1204765,65,"2026-07-08 (latest valid available)"
2602565,1204765,62,"2026-07-08 (latest valid available)"
2602575,1204765,64,"2026-07-08 (latest valid available)"
2602585,1204765,68,"2026-07-08 (latest valid available)"
2602595,1204765,58,"2026-07-08 (latest valid available)"
2602605,1204765,61,"2026-07-08 (latest valid available)"
2602615,1204765,47,"2026-07-08 (latest valid available)"
2602645,1204765,55,"2026-07-08 (latest valid available)"
2602655,1204765,45,"2026-07-08 (latest valid available)"
2602665,1204765,45,"2026-07-08 (latest valid available)"
2602675,1204765,46,"2026-07-08 (latest valid available)"
2602685,1204765,49,"2026-07-08 (latest valid available)"
2602695,1204765,49,"2026-07-08 (latest valid available)"
2602705,1204765,49,"2026-07-08 (latest valid available)"
2602715,1204765,55,"2026-07-08 (latest valid available)"
2602735,1204765,50,"2026-07-08 (latest valid available)"
2602745,1204765,53,"2026-07-08 (latest valid available)"
2602755,1204765,53,"2026-07-08 (latest valid available)"
2602765,1204765,53,"2026-07-08 (latest valid available)"
2602775,1204765,46,"2026-07-08 (latest valid available)"
2602785,1204765,46,"2026-07-08 (latest valid available)"
2602795,1204765,48,"2026-07-08 (latest valid available)"
2602805,1204765,66,"2026-07-08 (latest valid available)"
2602815,1204765,67,"2026-07-08 (latest valid available)"
2602825,1204765,60,"2026-07-08 (latest valid available)"
2602835,1204765,51,"2026-07-08 (latest valid available)"
2602845,1204765,51,"2026-07-08 (latest valid available)"
2602855,1204765,44,"2026-07-08 (latest valid available)"
2602865,1204765,40,"2026-07-08 (latest valid available)"
2602875,1204765,42,"2026-07-08 (latest valid available)"
2602885,1204765,41,"2026-07-08 (latest valid available)"
2602915,1204765,52,"2026-07-08 (latest valid available)"
2602925,1204765,51,"2026-07-08 (latest valid available)"
2602935,1204765,57,"2026-07-08 (latest valid available)"
2602945,1204765,50,"2026-07-08 (latest valid available)"
2602955,1204765,58,"2026-07-08 (latest valid available)"
2602965,1204765,58,"2026-07-08 (latest valid available)"
2602975,1204765,54,"2026-07-08 (latest valid available)"
